Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Age,Price_per_Unit_Weight,Item_Visibility_Log,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Non_Consumable,Item_Fat_Content_Regular,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Category_Food,Item_Category_Non-Consumable,Outlet_Age_Category_Mid,Outlet_Age_Category_Old
FDA15,9.3,0.016047301,Dairy,249.8092,9,1999,3735.138,26,26.86120430107527,0.015919904174950657,True,False,False,0,False,True,False,False,False,True,False,False,True
DRC01,5.92,0.019278216,Soft Drinks,48.2692,3,2009,443.4228,16,8.15358108108108,0.019094745434374644,False,True,False,0,True,True,False,False,True,False,False,True,False
FDN15,17.5,0.016760075,Meat,141.618,9,1999,2097.27,26,8.092457142857143,0.016621174779953313,True,False,False,0,False,True,False,False,False,True,False,False,True
FDX07,19.2,0.057792343,Fruits and Vegetables,182.095,0,1998,732.38,27,9.484114583333334,0.05618404101511105,False,False,False,0,True,False,True,False,True,True,False,False,True
NCD19,8.93,0.057792343,Household,53.8614,1,1987,994.7052,38,6.031511758118701,0.05618404101511105,True,False,False,1,False,False,False,False,True,False,True,False,True
FDP36,10.395,0.057792343,Baking Goods,51.4008,3,2009,556.6088,16,4.944761904761904,0.05618404101511105,False,True,False,0,True,True,False,False,True,True,False,True,False
FDO10,13.65,0.012741089,Snack Foods,57.6588,1,1987,343.5528,38,4.224087912087912,0.012660604246845706,True,False,False,0,True,False,False,False,True,True,False,False,True
FDP10,19.0,0.127469857,Snack Foods,107.7622,5,1985,4022.7636,40,5.671694736842106,0.11997605766925581,False,False,True,0,False,True,False,False,True,True,False,False,True
FDH17,16.2,0.016687114,Frozen Foods,96.9726,7,2002,1076.5986,23,5.985962962962963,0.016549413880111906,True,False,False,0,True,False,True,True,False,True,False,True,False
FDU28,19.2,0.09444959,Frozen Foods,187.8214,2,2007,4710.535,18,9.782364583333335,0.09025157935956865,True,False,False,0,True,False,True,True,False,True,False,True,False
FDY07,11.8,0.057792343,Fruits and Vegetables,45.5402,9,1999,1516.0266,26,3.859338983050847,0.05618404101511105,True,False,False,0,False,True,False,False,False,True,False,False,True
FDA03,18.5,0.045463773,Dairy,144.1102,8,1997,2187.153,28,7.78974054054054,0.04446058887970795,True,False,False,0,True,False,True,False,False,True,False,False,True
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,9,1999,1589.2646,26,9.634344370860928,0.09532245245628829,True,False,False,0,True,True,False,False,False,True,False,False,True
FDS46,17.6,0.047257328,Snack Foods,119.6782,8,1997,2145.2076,28,6.799897727272727,0.04617467819460065,True,False,False,0,True,False,True,False,False,True,False,False,True
FDF32,16.35,0.0680243,Fruits and Vegetables,196.4426,1,1987,1977.426,38,12.014837920489295,0.06581049308815062,True,False,False,0,False,False,False,False,True,True,False,False,True
FDP49,9.0,0.069088961,Breakfast,56.3614,8,1997,1547.3192,28,6.262377777777778,0.06680684747657258,True,False,False,0,True,False,True,False,False,True,False,False,True
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,3,2009,1621.8888,16,9.77535593220339,0.008559315324645284,False,True,False,1,False,True,False,False,True,False,True,True,False
FDP49,9.0,0.069196376,Breakfast,54.3614,9,1999,718.3982,26,6.040155555555556,0.06690731582682657,True,False,False,0,True,True,False,False,False,True,False,False,True
DRI11,8.26,0.034237682,Hard Drinks,113.2834,5,1985,2303.668,40,13.714697336561743,0.03366461620869032,False,False,True,0,False,True,False,False,True,False,False,False,True
FDU02,13.35,0.10249212,Dairy,230.5352,6,2004,2748.4224,21,17.268554307116105,0.09757318092103104,True,False,False,0,False,False,True,True,False,True,False,True,False
FDN22,18.85,0.138190277,Snack Foods,250.8724,1,1987,3775.086,38,13.308880636604773,0.1294395247149753,True,False,False,0,True,False,False,False,True,True,False,False,True
FDW12,8.315,0.035399923,Baking Goods,144.5444,5,1985,4064.0432,40,17.383571858087794,0.034787751118266916,False,False,True,0,True,True,False,False,True,True,False,False,True
NCB30,14.6,0.025698134,Household,196.5084,6,2004,1587.2672,21,13.459479452054795,0.025373487084180024,True,False,False,1,False,False,True,True,False,False,True,True,False
FDC37,15.5,0.057556998,Baking Goods,107.6938,4,1985,214.3876,40,6.9479870967741935,0.05596152930377379,False,False,False,0,False,False,True,False,False,True,False,False,True
FDR28,13.85,0.025896485,Frozen Foods,165.021,8,1997,4078.025,28,11.914873646209386,0.025566849845790985,True,False,False,0,True,False,True,False,False,True,False,False,True
NCD06,13.0,0.099887103,Household,45.906,2,2007,838.908,18,3.531230769230769,0.09520754090076917,True,False,False,1,False,False,True,True,False,False,True,True,False
FDV10,7.645,0.066693437,Snack Foods,42.3112,6,2004,1065.28,21,5.534493132766515,0.06456361801014203,True,False,False,0,True,False,True,True,False,True,False,True,False
DRJ59,11.65,0.019356132,Hard Drinks,39.1164,1,1987,308.9312,38,3.3576309012875534,0.019171184841092558,True,False,False,0,False,False,False,False,True,False,False,False,True
FDE51,5.925,0.161466534,Dairy,45.5086,0,1998,178.4344,27,7.680776371308017,0.14968346007108796,False,False,False,0,True,False,True,False,True,True,False,False,True
FDC14,14.5,0.072221801,Canned,43.6454,4,1985,125.8362,40,3.010027586206897,0.06973294516485708,False,False,False,0,True,False,True,False,False,True,False,False,True
FDV38,19.25,0.170348551,Dairy,55.7956,0,1998,163.7868,27,2.8984727272727273,0.1573016112818406,False,False,False,0,False,False,True,False,True,True,False,False,True
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,3,2009,2741.7644,16,5.185139784946236,0.07772868346038986,False,True,False,1,False,True,False,False,True,False,True,True,False
FDP33,18.7,0.057792343,Snack Foods,256.6672,3,2009,3068.0064,16,13.72551871657754,0.05618404101511105,False,True,False,0,False,True,False,False,True,True,False,True,False
FDO23,17.85,0.057792343,Breads,93.1436,7,2002,2174.5028,23,5.218128851540616,0.05618404101511105,True,False,False,0,False,False,True,True,False,True,False,True,False
DRH01,17.5,0.097904029,Soft Drinks,174.8738,8,1997,2085.2856,28,9.992788571428571,0.09340293398494309,True,False,False,0,False,False,True,False,False,False,False,False,True
NCX29,10.0,0.089291137,Health and Hygiene,146.7102,9,1999,3791.0652,26,14.671019999999999,0.08552715165527887,True,False,False,1,False,True,False,False,False,False,True,False,True
FDV20,20.2,0.059511812,Fruits and Vegetables,128.0678,5,1985,2797.6916,40,6.339990099009902,0.05780824731909687,False,False,True,0,True,True,False,False,True,True,False,False,True
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,3,2009,1609.9044,16,13.84619209039548,0.10717038056382121,False,True,False,0,True,True,False,False,True,False,False,True,False
FDX10,6.385000000000001,0.123111453,Snack Foods,36.9874,5,1985,388.1614,40,5.792858261550508,0.11610291660202873,False,False,True,0,True,True,False,False,True,True,False,False,True
FDB34,15.25,0.026480954,Snack Foods,87.6198,5,1985,2180.495,40,5.745560655737704,0.026136402993953124,False,False,True,0,False,True,False,False,True,True,False,False,True
FDU02,13.35,0.102511504,Dairy,230.6352,8,1997,3435.528,28,17.276044943820224,0.09759076275154552,True,False,False,0,False,False,True,False,False,True,False,False,True
FDK43,9.8,0.02681843,Meat,126.002,1,1987,2150.534,38,12.857346938775509,0.026465118821434038,True,False,False,0,False,False,False,False,True,True,False,False,True
FDA46,13.6,0.117818348,Snack Foods,192.9136,9,1999,2527.3768,26,14.184823529411766,0.11137888210414607,True,False,False,0,False,True,False,False,False,True,False,False,True
FDC02,21.35,0.069102831,Canned,259.9278,3,2009,6768.5228,16,12.174604215456673,0.06681982105551165,False,True,False,0,False,True,False,False,True,True,False,True,False
FDL50,12.15,0.042277867,Canned,126.5046,1,1987,373.5138,38,10.411901234567901,0.04140857476841835,True,False,False,0,True,False,False,False,True,True,False,False,True
FDM39,6.42,0.089498926,Dairy,178.1002,0,1998,358.2004,27,27.74146417445483,0.08571788962876115,False,False,False,0,False,False,True,False,True,True,False,False,True
NCP05,19.6,0.057792343,Health and Hygiene,153.3024,7,2002,2428.8384,23,7.821551020408163,0.05618404101511105,True,False,False,1,False,False,True,True,False,False,True,True,False
FDV49,10.0,0.025879577,Canned,265.2226,7,2002,5815.0972,23,26.52226,0.02555036851499322,True,False,False,0,False,False,True,True,False,True,False,True,False
FDL12,15.85,0.121632721,Baking Goods,60.622,8,1997,2576.646,28,3.8247318611987384,0.11478541037479005,True,False,False,0,True,False,True,False,False,True,False,False,True
FDS02,10.195,0.255394896,Dairy,196.8794,4,1985,780.3176,40,19.311368317802845,0.22745018125657904,False,False,False,0,True,False,True,False,False,True,False,False,True
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,8,1997,3134.5864,28,19.469715832205686,0.06558145709075107,True,False,False,1,False,False,True,False,False,False,True,False,True
FDM40,10.195,0.159803853,Frozen Foods,141.5154,1,1987,850.8924,38,13.880863168219715,0.14825089857918913,True,False,False,0,False,False,False,False,True,True,False,False,True
FDR13,9.895,0.028696932,Canned,117.0492,1,1987,810.9444,38,11.82912582112178,0.02829288674542277,True,False,False,0,True,False,False,False,True,True,False,False,True
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,2,2007,3121.2704,18,18.02472693896283,0.0630138415917111,True,False,False,0,False,False,True,True,False,True,False,True,False
NCP18,12.15,0.028760013,Household,151.4708,2,2007,4815.0656,18,12.466732510288065,0.028354206133099934,True,False,False,1,False,False,True,True,False,False,True,True,False
FDK21,7.905,0.010053105,Snack Foods,249.0408,3,2009,6258.52,16,31.50421252371916,0.010002908678850772,False,True,False,0,False,True,False,False,True,True,False,True,False
NCX54,9.195,0.048157338,Household,106.1622,7,2002,2117.244,23,11.545644371941272,0.047033706309606994,True,False,False,1,False,False,True,True,False,False,True,True,False
DRK35,8.365,0.071958197,Hard Drinks,38.0506,9,1999,796.9626,26,4.548786610878661,0.06948706655245147,True,False,False,0,False,True,False,False,False,False,False,False,True
FDY21,15.1,0.173481304,Snack Foods,194.511,8,1997,4910.275,28,12.881523178807948,0.1599748043541629,True,False,False,0,False,False,True,False,False,True,False,False,True
FDI26,5.94,0.061082177,Canned,180.0344,4,1985,892.172,40,30.308821548821548,0.05928930903595658,False,False,False,0,False,False,True,False,False,True,False,False,True
FDM20,10.0,0.057792343,Fruits and Vegetables,246.9144,3,2009,3185.1872,16,24.69144,0.05618404101511105,False,True,False,0,False,True,False,False,True,True,False,True,False
FDV27,7.97,0.040071131,Meat,87.3514,7,2002,1062.6168,23,10.960025094102885,0.03928910600674447,True,False,False,0,True,False,True,True,False,True,False,True,False
FDF09,6.215,0.012090074,Fruits and Vegetables,38.2848,5,1985,484.7024,40,6.1600643604183425,0.012017572833334891,False,False,True,0,False,True,False,False,True,True,False,False,True
FDY40,15.5,0.15028599,Frozen Foods,51.0692,4,1985,147.8076,40,3.294787096774194,0.14001059841420502,False,False,False,0,True,False,True,False,False,True,False,False,True
FDY45,17.5,0.026015519,Snack Foods,255.8356,5,1985,2543.356,40,14.619177142857144,0.02568287236517923,False,False,True,0,False,True,False,False,True,True,False,False,True
FDC46,17.7,0.195068226,Snack Foods,185.4266,0,1998,184.4266,27,10.476079096045199,0.17820327664076643,False,False,False,0,False,False,True,False,True,True,False,False,True
FDH19,19.35,0.033082215,Meat,172.5738,6,2004,4865.6664,21,8.918542635658914,0.03254677554745905,True,False,False,0,False,False,True,True,False,True,False,True,False
FDZ03,13.65,0.078946455,Dairy,186.024,7,2002,1118.544,23,13.628131868131868,0.07598506039219782,True,False,False,0,True,False,True,True,False,True,False,True,False
DRH37,17.6,0.041700756,Soft Drinks,164.8526,7,2002,2302.3364,23,9.366624999999999,0.040854719744779125,True,False,False,0,False,False,True,True,False,False,False,True,False
NCI17,8.645,0.143422643,Health and Hygiene,95.841,8,1997,2027.361,28,11.086292654713708,0.13402608287012394,True,False,False,1,False,False,True,False,False,False,True,False,True
FDJ58,15.6,0.105296072,Snack Foods,170.1764,8,1997,3435.528,28,10.90874358974359,0.10011323754215559,True,False,False,0,True,False,True,False,False,True,False,False,True
FDL12,15.85,0.121531501,Baking Goods,59.222,1,1987,599.22,38,3.7364037854889594,0.11469516285828994,True,False,False,0,True,False,False,False,True,True,False,False,True
FDH35,18.25,0.057792343,Starchy Foods,164.7526,7,2002,4604.6728,23,9.027539726027397,0.05618404101511105,True,False,False,0,False,False,True,True,False,True,False,True,False
FDG02,7.855,0.011324862,Canned,189.6188,2,2007,2285.0256,18,24.13988542329726,0.011261215822357538,True,False,False,0,False,False,True,True,False,True,False,True,False
NCZ18,7.825,0.186357148,Household,254.3698,9,1999,5580.7356,26,32.50732268370607,0.17088739183660223,True,False,False,1,False,True,False,False,False,False,True,False,True
FDC29,8.39,0.024205661,Frozen Foods,114.0176,8,1997,2290.352,28,13.589702026221692,0.023917347271811024,True,False,False,0,True,False,True,False,False,True,False,False,True
FDQ10,12.85,0.033230816,Snack Foods,172.3422,9,1999,1207.0954,26,13.411844357976653,0.03269060757874065,True,False,False,0,False,True,False,False,False,True,False,False,True
FDN48,13.35,0.113720344,Baking Goods,89.9804,4,1985,643.1628,40,6.740104868913858,0.10770607228787905,False,False,False,0,False,False,True,False,False,True,False,False,True
FDL04,19.0,0.112556507,Frozen Foods,104.9622,2,2007,1587.933,18,5.524326315789473,0.10666052657733595,True,False,False,0,False,False,True,True,False,True,False,True,False
FDV25,5.905,0.057792343,Canned,222.5456,7,2002,5305.0944,23,37.68765453005927,0.05618404101511105,True,False,False,0,False,False,True,True,False,True,False,True,False
FDD58,7.76,0.059352241,Snack Foods,101.87,8,1997,1697.79,28,13.12757731958763,0.05765762793407711,True,False,False,0,False,False,True,False,False,True,False,False,True
FDN04,11.8,0.014087057,Frozen Foods,180.3344,8,1997,1427.4752,28,15.28257627118644,0.013988756513245102,True,False,False,0,True,False,True,False,False,True,False,False,True
FDV45,16.75,0.045230944,Snack Foods,187.9556,3,2009,4693.89,16,11.221229850746269,0.044237860043145324,False,True,False,0,False,True,False,False,True,True,False,True,False
NCL18,18.849999999999998,0.293417759,Household,194.6136,4,1985,583.2408,40,10.324328912466845,0.25728814041390363,False,False,False,1,False,False,True,False,False,False,True,False,True
FDR12,12.6,0.031382044,Baking Goods,171.3764,5,1985,3091.9752,40,13.601301587301586,0.03089969313665779,False,False,True,0,True,True,False,False,True,True,False,False,True
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,2,2007,2479.4392,18,11.419535483870968,0.11902569434726512,True,False,False,0,True,False,True,True,False,True,False,True,False
FDZ55,6.055,0.025403898,Fruits and Vegetables,160.992,6,2004,2716.464,21,26.58827415359207,0.025086581803576872,True,False,False,0,False,False,True,True,False,True,False,True,False
FDQ49,20.2,0.039057677,Breakfast,155.963,5,1985,3285.723,40,7.720940594059406,0.03831422260715342,False,False,True,0,True,True,False,False,True,True,False,False,True
FDN33,6.305,0.123115764,Snack Foods,95.6436,8,1997,661.8052,28,15.169484536082475,0.11610675503828966,True,False,False,0,True,False,True,False,False,True,False,False,True
FDN27,20.85,0.039624006,Meat,117.2808,9,1999,1523.3504,26,5.6249784172661865,0.03885911509227405,True,False,False,0,False,True,False,False,False,True,False,False,True
FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,0,1998,369.519,27,5.887855421686747,0.03962562443487355,False,False,False,0,False,False,True,False,True,True,False,False,True
DRG27,8.895,0.105274111,Dairy,39.9138,9,1999,690.4346,26,4.487217537942665,0.10009336846026023,True,False,False,0,False,True,False,False,False,False,False,False,True
DRI25,19.6,0.033970195,Soft Drinks,55.1614,7,2002,1381.535,23,2.814357142857143,0.033405950719146385,True,False,False,0,False,False,True,True,False,False,False,True,False
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,6,2004,622.523,21,2.9387309644670054,0.05184516148088979,True,False,False,0,False,False,True,True,False,True,False,True,False
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,6,2004,1274.3412,21,11.68869387755102,0.024086288325154106,True,False,False,1,False,False,True,True,False,False,True,True,False
FDU04,7.93,0.009714595,Frozen Foods,120.0414,4,1985,487.3656,40,15.137629255989912,0.00966771171221991,False,False,False,0,False,False,True,False,False,True,False,False,True
FDF41,12.15,0.131383762,Frozen Foods,246.046,9,1999,1231.73,26,20.250699588477364,0.12344145169382116,True,False,False,0,False,True,False,False,False,True,False,False,True
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,6,2004,3755.112,21,21.423497142857144,0.07196068051514704,True,False,False,0,True,False,True,True,False,True,False,True,False
NCP18,12.15,0.028459761,Household,149.9708,5,1985,4363.6532,40,12.343275720164609,0.0280623053785703,False,False,True,1,False,True,False,False,True,False,True,False,True
FDB56,8.75,0.074627201,Fruits and Vegetables,187.8556,8,1997,1314.2892,28,21.46921142857143,0.07197381166670724,True,False,False,0,True,False,True,False,False,True,False,False,True
FDT28,13.3,0.063695084,Frozen Foods,151.0708,7,2002,1805.6496,23,11.358706766917292,0.06174877466096682,True,False,False,0,False,False,True,True,False,True,False,True,False
FDD10,20.599999999999998,0.045797829,Snack Foods,178.5344,5,1985,2854.9504,40,8.666718446601942,0.04478006684699988,False,False,True,0,True,True,False,False,True,True,False,False,True
